"SL","Title","Description Summary","Price","Base Price","Discount Price"," Quantity"," Size"," Condition"," Status"," Is Featured"," Cat ID"," SubCat ID"," ChildCat ID"," Barnd ID"," SKU"," Weight"," Lenght"," Height"," Width"," Is Physical"," Warehouse"," Template"," Backorder"," Discount Option"," SPH"," DIA"," CYL"," AXIS"," RAD"," COLOR"," ADD"," UPC"," VTO"," VTO Url"," Lens Option"," Gender Man"," Gender Woman"," B2B Option"," Ek Price"," Discount"," Photo"
"277","CT-002 SCREWDRIVER (MIN:50PCS)","","7.2","7","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124149","0","","0","0","0","1","3.6","0","pr-ct002407.jpg"
"278","CT3803","FILE","7.2","7","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124441","0","","0","0","0","1","3.6","0",""
"279","CT3161","LONG ENTERING PLIERS","7.4","7","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124420","0","","0","0","0","1","3.7","0","pr-ct3161377.jpg"
"280","CT3163","FLAT BIT TONGS","7.4","7","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124421","0","","0","0","0","1","3.7","0","pr-ct3163509.jpg"
"281","CT-008 POCKET SCREWDRIVER(MIN:300PCS)","","7.6","8","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124594","0","","0","0","0","1","3.8","0","pr-ct008428.jpg"
"282","CT3720","OIL PEN(MIN:100PCS)","7.6","8","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124439","0","","0","0","0","1","3.8","0","pr-ct3720512.jpg"
"283","CT3804","FILE","7.6","8","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123998","0","","0","0","0","1","3.8","0",""
"284","CTS-3Y","EYEGLASS BOX","7.7","8","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124180","0","","0","0","0","1","3.85","0",""
"285","CE003 ELASTIC","","8","8","","10","","default","active","0","188","91","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123654","0","","0","0","0","1","4","0",""
"286","CT-015A PROTRACTOR(MIN:100PCS)","","8","8","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124156","0","","0","0","0","1","4","0",""
"287","CT1610","MANUAL VACUUM SUCKER","8","8","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124360","0","","0","0","0","1","4","0",""
"288","CT41006","VERNIER CALIPER(PLASTIC)","8","8","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124069","0","","0","0","0","1","4","0",""
"289","CT4710J"," FLIPPER LENS HOLDER","8","8","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124498","0","","0","0","0","1","4","0","pr-ct4710j580.jpg"
"290","CT6302","SCREW CASE","8","8","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124563","0","","0","0","0","1","4","0",""
"291","CT6802","BENCH VICE(PLASTIC)","8","8","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124564","0","","0","0","0","1","4","0",""
"292","CT7901","BLADE FOR LENS GROOVER","8","8","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124570","0","","0","0","0","1","4","0",""
"293","CT31304","SCREWDRIVER SET","8.2","8","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123984","0","","0","0","0","1","4.1","0",""
"294","CM030/ 032METAL CHAINS","","8.36","8","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123777","0","","0","0","0","1","4.18","0",""
"295","CT31322","SCREWDRIVER SET","8.8","9","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124432","0","","0","0","0","1","4.4","0","pr-ct31322772.jpg"
"296","CT-A08A POCKET SCREWDRIVER(MIN:300PCS)","","9","9","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124597","0","","0","0","0","1","4.5","0",""
"297","CTS-3M","EYEGLASS BOX","9.02","9","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124618","0","","0","0","0","1","4.51","0",""
"298","CTT PVC NOSE PAD","","9.2","9","","10","","default","active","0","188","90","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123694","0","","0","0","0","1","4.6","0","pr-201371022527.jpg"
"299","CTS-4Y","EYEGLASS BOX","9.24","9","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124181","0","","0","0","0","1","4.62","0",""
"300","CT2204N","TRIAL FRAME","9.4","9","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124410","0","","0","0","0","1","4.7","0",""
"301","CT4714","LORGNETTE PINHOLE OCCLUDER","10","10","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124503","0","","0","0","0","1","5","0","pr-ct4714586.jpg"
"302","CT6210","THIRD HAND","10","10","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124561","0","","0","0","0","1","5","0",""
"303","CTPH-31/35/43/49   PVC NOSE PAD","","10","10","","10","","default","active","0","188","90","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123693","0","","0","0","0","1","5","0",""
"304","CTY-302/305/306/308/309/310/311/314 PVC NOSE PAD","","10","10","","10","","default","active","0","188","90","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123696","0","","0","0","0","1","5","0",""
"305","CTS-4M","EYEGLASS BOX","10.12","10","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124619","0","","0","0","0","1","5.06","0",""
"306","CTS-5Y","EYEGLASS BOX","10.12","10","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124182","0","","0","0","0","1","5.06","0",""
"307","CTS-3001","Eyeglasses box","11","11","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124203","0","","0","0","0","1","5.5","0",""
"308","CTS-6","EYEGLASS BOX","11","11","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124621","0","","0","0","0","1","5.5","0",""
"309","CTS-5M","EYEGLASS BOX","11.44","11","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124620","0","","0","0","0","1","5.72","0",""
"310","CTS-8C","EYEGLASS BOX","11.44","11","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124623","0","","0","0","0","1","5.72","0",""
"311","CT2204A/B/C/D/E/F/G TRIAL FRAME","","11.6","12","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123967","0","","0","0","0","1","5.8","0","pr-ct2204488.jpg"
"312","CT31301","SCREWDRIVER SET","11.6","12","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124426","0","","0","0","0","1","5.8","0",""
"313","CT71201","MILLING CUTTER","11.6","12","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124134","0","","0","0","0","1","5.8","0","pr-ct71201-1801.jpg"
"314","CTS-8B","EYEGLASS BOX","11.66","12","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124184","0","","0","0","0","1","5.83","0",""
"315","CT31360C","SCREWDRIVER(MIN:100PCS)","12","12","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124436","0","","0","0","0","1","6","0",""
"316","CT31362","SCREWDRIVER(MIN:100PCS)","12","12","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124437","0","","0","0","0","1","6","0","pr-ct31362783.jpg"
"317","CT31363","SCREWDRIVER(MIN:100PCS)","12","12","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123995","0","","0","0","0","1","6","0","pr-ct31363784.jpg"
"318","CT3702","GLASS CUTTER","12","12","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123996","0","","0","0","0","1","6","0","pr-ct3702511.jpg"
"319","CT4701","CROSS CYLINDER(2PCS)","12","12","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124048","0","","0","0","0","1","6","0","pr-ct4701569.jpg"
"320","CT4710","FLIPPER","12","12","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124495","0","","0","0","0","1","6","0",""
"321","CT4710F"," FLIPPER","12","12","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124497","0","","0","0","0","1","6","0",""
"322","CT7901-A","BLADE FOR LENS GROOVER","12","12","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124131","0","","0","0","0","1","6","0",""
"323","CT8401","POLISHING CERATE","12","12","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124138","0","","0","0","0","1","6","0",""
"324","CT8702 ","ALCOHOL BOTTLE","12","12","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124142","0","","0","0","0","1","6","0",""
"325","CTS-3023","Eyeglasses box","12.32","12","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124645","0","","0","0","0","1","6.16","0","pr-ct3023360.jpg"
"326","CTS-3026","Eyeglasses box","12.32","12","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124646","0","","0","0","0","1","6.16","0","pr-ct3026362.jpg"
"327","CTS-6M","EYEGLASS BOX","12.54","13","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124183","0","","0","0","0","1","6.27","0",""
"328","CTS-8A","EYEGLASS BOX","12.54","13","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124622","0","","0","0","0","1","6.27","0",""
"329","CTS-0016A/B","Mirror(MOQ: 100PCS)","13.2","13","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124226","0","","0","0","0","1","6.6","0",""
"330","CTS-3004","Eyeglasses box","13.2","13","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124204","0","","0","0","0","1","6.6","0",""
"331","CTS-3017","Eyeglasses box","13.64","14","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124644","0","","0","0","0","1","6.82","0",""
"332","CT-016A NYLON LINE SET(MIN:100SET)","","14","14","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124595","0","","0","0","0","1","7","0","pr-ct016a429.jpg"
"333","CT30 18/19/21/23/25/27/65/66/67/68/ 69/70 /71/78/79 PLIERS","","14","14","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123975","0","","0","0","0","1","7","0","pr-ct3018356.jpg"
"334","CT31 57/58/72/73/74/ 75/ 77/ 78/ 3190 PLIERS","","14","14","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124418","0","","0","0","0","1","7","0","pr-ct3157375.jpg"
"335","HL-13N","HAND LAMP(MOQ:200PCS)","14","14","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123842","0","","0","0","0","1","7","0","pr-hl-13n148.jpg"
"336","CTS-8M","EYEGLASS BOX","14.08","14","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124185","0","","0","0","0","1","7.04","0",""
"337","CT 3032","PLIERS","15","15","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123977","0","","0","0","0","1","7.5","0","pr-ct3032508.jpg"
"338","CT3030/ 31","PLIERS","15","15","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124419","0","","0","0","0","1","7.5","0","pr-ct3030364.jpg"
"339","CT8503 POLISHING WHEEL(FOR CT5303/CT5304)","","15","15","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124578","0","","0","0","0","1","7.5","0",""
"340","CTS-3016","Eyeglasses box","15.4","15","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124205","0","","0","0","0","1","7.7","0",""
"341","CT30 26/72/76/ 3171  PLIERS","","16","16","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123976","0","","0","0","0","1","8","0","pr-ct3026362.jpg"
"342","CT4711D","MADDOX & OCCLUDER( STANDARD: RED/GREEN/ WHITE MADDOX) MOQ: 100PCS","16","16","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124501","0","","0","0","0","1","8","0",""
"343","CT4711E","MADDOX & OCCLUDER( STANDARD: RED/GREEN/ WHITE MADDOX) MOQ: 100PCS","16","16","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124060","0","","0","0","0","1","8","0",""
"344","CT6203","TOOL STAND","16","16","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124558","0","","0","0","0","1","8","0","pr-ct6203645.jpg"
"345","CT71101","PATTERN MAKER CUTTER","16","16","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124133","0","","0","0","0","1","8","0",""
"346","CT-A21F TOOLS KIT(MIN:200PCS)","","16","16","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124164","0","","0","0","0","1","8","0","pr-ct-a21f19.jpg"
"347","CT31364","SCREWDRIVER(MIN:100PCS)","16.6","17","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124438","0","","0","0","0","1","8.3","0","pr-ct31364785.jpg"
"348","CM015 METAL CHAINS","","16.72","17","","10","","default","active","0","188","91","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123631","0","","0","0","0","1","8.36","0",""
"349","CTS-12W","EYEGLASS BOX","16.94","17","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124186","0","","0","0","0","1","8.47","0",""
"350","CTS-12W-1","EYEGLASS BOX","16.94","17","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124625","0","","0","0","0","1","8.47","0",""
"351","CTS-12M","EYEGLASS BOX","17.6","18","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124624","0","","0","0","0","1","8.8","0",""
"352","CTS-12Y","EYEGLASS BOX","17.82","18","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124187","0","","0","0","0","1","8.91","0",""
"353","CT-016B NYLON LINE SET(MIN:100SET)","","18","18","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124157","0","","0","0","0","1","9","0","pr-ct016b430.jpg"
"354","CT3808","SET OF FILES","18","18","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124000","0","","0","0","0","1","9","0","pr-ct3808515.jpg"
"355","CT72202","DIA CHUCK","18","18","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124574","0","","0","0","0","1","9","0","pr-ct72202802.jpg"
"356","CT72203","TOPCON/NIDEK/WECO CHUCK","18","18","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124135","0","","0","0","0","1","9","0","pr-ct722031.jpg"
"357","CT72204","ESSILOR CHUCK","18","18","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124575","0","","0","0","0","1","9","0","pr-ct722042.jpg"
"358","CT72205","BRIOT CHUCK","18","18","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124136","0","","0","0","0","1","9","0","pr-ct722054.jpg"
"359","CB002 PEAL CHAINS","","18.12","18","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123779","0","","0","0","0","1","9.06","0",""
"360","CT3162","OBLIQUE MOUTH TONGS","18.6","19","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123978","0","","0","0","0","1","9.3","0","pr-ct3162378.jpg"
"361","CTS-006","MIRROR(MIN: 100PCS)","18.7","19","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124663","0","","0","0","0","1","9.35","0",""
"362","CTS-3035","Eyeglasses cabinet ","18.8","19","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124649","0","","0","0","0","1","9.4","0","pr-cts303569.jpg"
"363","CT4702","CROSS CYLINDER WITH PLASTIC CASE","19","19","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124490","0","","0","0","0","1","9.5","0","pr-ct4702570.jpg"
"364","CT4703NS-3","BOARD LENSES","19","19","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124492","0","","0","0","0","1","9.5","0",""
"365","CT-A07 TUNGSTEN  BITS FOR DRILLING & MILLING","","19.8","20","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124158","0","","0","0","0","1","9.9","0","pr-cta07-111.jpg"
"366","CTS-3024","Eyeglasses box","19.8","20","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124207","0","","0","0","0","1","9.9","0",""
"367","CT4710M","FLIPPER-SPHERE","20","20","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124057","0","","0","0","0","1","10","0","pr-ct4710m-l581.jpg"
"368","CT4710M-GR","FLIPPER- R&G LENS","20","20","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124500","0","","0","0","0","1","10","0",""
"369","CT7901-P4","BLADE FOR LENS GROOVER","20","20","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124132","0","","0","0","0","1","10","0",""
"370","CT-A21H TOOLS KIT(MIN:200PCS)","","20","20","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124165","0","","0","0","0","1","10","0","pr-ct-a21h21.jpg"
"371","CTS-3003","Eyeglasses box","21.34","21","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124642","0","","0","0","0","1","10.67","0",""
"372","CT2212NL","TRIAL FRAME(TITANIUM)","22","22","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124413","0","","0","0","0","1","11","0",""
"373","CT71001","DRILLING MACHINE NEEDLE","22","22","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124572","0","","0","0","0","1","11","0",""
"374","CT7901-G","BLADE FOR LENS GROOVER","22","22","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124571","0","","0","0","0","1","11","0",""
"375","CTS-3015","Eyeglasses box","22","22","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124643","0","","0","0","0","1","11","0",""
"376","CT4702N","CROSS CYLINDER WITH PLASTIC CASE","24","24","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124049","0","","0","0","0","1","12","0","pr-ct4702n571.jpg"
"377","CT51010","LENS CLIP","24","24","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124552","0","","0","0","0","1","12","0","pr-ct51010788.jpg"
"378","CT-A70E RHINESTONESNOTCH MILLER","","24","24","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124606","0","","0","0","0","1","12","0","pr-cta70e-135.jpg"
"379","CTS-004","MIRROR(MIN: 100PCS)","24.2","24","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124662","0","","0","0","0","1","12.1","0",""
"380","CTS-005","MIRROR(MIN: 100PCS)","24.2","24","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124225","0","","0","0","0","1","12.1","0",""
"381","CTG-1AP/2AP/4AP/5AP/9AP SILICONE AIR NOSE PAD (SOFT CORE)","","24.8","25","","10","","default","active","0","188","90","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123685","0","","0","0","0","1","12.4","0","pr-20137112129.jpg"
"382","SILICONE NOSE PADS","","25.2","25","","10","","default","active","0","188","90","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123689","0","","0","0","0","1","12.6","0","pr-2013710193834.jpg"
"383","CT4710E"," FLIPPER","26","26","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124055","0","","0","0","0","1","13","0",""
"384","CT6803","BENCH VICE(METAL)","26","26","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124124","0","","0","0","0","1","13","0",""
"385","CT-A21G TOOLS KIT(MIN:200PCS)","","26","26","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124603","0","","0","0","0","1","13","0","pr-ct-a21g20.jpg"
"386","CT-A64 ALLOY FILE SET(MIN:50 SET)","","26","26","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124605","0","","0","0","0","1","13","0","pr-ct-a6423.jpg"
"387","CT2208","TRIAL FRAME","28","28","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124411","0","","0","0","0","1","14","0","pr-ct2208490.jpg"
"388","CT2211N","TRIAL FRAME(TITANIUM)","28","28","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123970","0","","0","0","0","1","14","0",""
"389","CT41001","VERNIER CALIPER","28","28","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124508","0","","0","0","0","1","14","0",""
"390","CT4401 RADIAN APPARATUS(1 INDEX)","","30","30","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124035","0","","0","0","0","1","15","0","pr-ct4401547.jpg"
"391","CT4402 RADIAN APPARATUS(2 INDEX)","","30","30","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124477","0","","0","0","0","1","15","0","pr-ct4402549.jpg"
"392","CT4403 RADIAN APPARATUS(3 INDEX)","","30","30","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124036","0","","0","0","0","1","15","0","pr-ct4403551.jpg"
"393","CT6209","TOOL STAND(EMPTY) ","30","30","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124560","0","","0","0","0","1","15","0","pr-ct6209648.jpg"
"394","CT8802A/B/C","ADHESIVE TAPE ","30","30","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124582","0","","0","0","0","1","15","0",""
"395","CT-A21A TOOLS KIT(MIN:100PCS)","","30","30","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124600","0","","0","0","0","1","15","0","pr-ct-a21a16.jpg"
"396","BATTERIES FOR CT51110 12580MWH, 2PCS 18650 ","","32","32","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124116","0","","0","0","0","1","16","0","pr-ct51110796.jpg"
"397","CT-005A TOOLS KIT (MIN:100PCS)","","32","32","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124151","0","","0","0","0","1","16","0","pr-ct005a426.jpg"
"398","CT1604","WELDING TORCH","32","32","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123915","0","","0","0","0","1","16","0","pr-ct1604446.jpg"
"399","CT3810","SET OF FILES","32","32","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124445","0","","0","0","0","1","16","0","pr-ct3810517.jpg"
"400","CT41005","VERNIER CALIPER","32","32","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124510","0","","0","0","0","1","16","0",""
"401","CT4722","MADDOX TEST(R/W)","32","32","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124064","0","","0","0","0","1","16","0","pr-ct4722589.jpg"
"402","CT6208","TOOL STAND(EMPTY) ","32","32","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124559","0","","0","0","0","1","16","0","pr-ct6208646.jpg"
"403","CTT-112/139/140/178/182/186/196/197 PVC NOSE PAD","","32","32","","10","","default","active","0","188","90","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123695","0","","0","0","0","1","16","0","pr-201371022527.jpg"
"404","CT8805/06","SURFACE SAVER DISCS","34","34","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124584","0","","0","0","0","1","17","0","pr-ct8805729.jpg"
"405","CT8809N","ADHESIVE TAPE","34","34","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124146","0","","0","0","0","1","17","0","pr-ct8809n737.jpg"
"406","CTS-4405C","MIRROR-6""(MIN: 100PCS)","34","34","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124664","0","","0","0","0","1","17","0",""
"407","SILICONE NOSE PADS - WITH THERMPRINTED LOGO(ONE COLOR)","","34","34","","10","","default","active","0","188","90","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123691","0","","0","0","0","1","17","0",""
"408","CT4710D","CONFIRMATION PD TEST","36","36","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124496","0","","0","0","0","1","18","0","pr-ct4710d578.jpg"
"409","CT4710M-L","FLIPPER-PRISM","36","36","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124499","0","","0","0","0","1","18","0","pr-ct4710m-l581.jpg"
"410","CT8802NC","ADHESIVE TAPE(18MM)","36","36","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124583","0","","0","0","0","1","18","0",""
"411","CTS-3029","Eyeglasses box","36","36","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124208","0","","0","0","0","1","18","0",""
"412","CTS-4406C","MIRROR(MIN: 100PCS)","36.74","37","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124665","0","","0","0","0","1","18.37","0",""
